Series Name,Series Code,CountryName,CountryCode,Y2016
"Population, total",SP.POP.TOTL,Afghanistan,AFG,35383028
"Population, total",SP.POP.TOTL,Albania,ALB,2876101
"Population, total",SP.POP.TOTL,Algeria,DZA,40551398
"Population, total",SP.POP.TOTL,American Samoa,ASM,55739
"Population, total",SP.POP.TOTL,Andorra,AND,77295
"Population, total",SP.POP.TOTL,Angola,AGO,28842482
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,94520
"Population, total",SP.POP.TOTL,Argentina,ARG,43590368
"Population, total",SP.POP.TOTL,Armenia,ARM,2936147
"Population, total",SP.POP.TOTL,Aruba,ABW,104865
"Population, total",SP.POP.TOTL,Australia,AUS,24190907
"Population, total",SP.POP.TOTL,Austria,AUT,8736668
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9757812
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,377923
"Population, total",SP.POP.TOTL,Bahrain,BHR,1425793
"Population, total",SP.POP.TOTL,Bangladesh,BGD,157977151
"Population, total",SP.POP.TOTL,Barbados,BRB,285798
"Population, total",SP.POP.TOTL,Belarus,BLR,9469379
"Population, total",SP.POP.TOTL,Belgium,BEL,11331422
"Population, total",SP.POP.TOTL,Belize,BLZ,368399
"Population, total",SP.POP.TOTL,Benin,BEN,10872072
"Population, total",SP.POP.TOTL,Bermuda,BMU,64554
"Population, total",SP.POP.TOTL,Bhutan,BTN,736706
"Population, total",SP.POP.TOTL,Bolivia,BOL,11031822
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3386263
"Population, total",SP.POP.TOTL,Botswana,BWA,2159925
"Population, total",SP.POP.TOTL,Brazil,BRA,206163056
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29355
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,419791
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7127822
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18646350
"Population, total",SP.POP.TOTL,Burundi,BDI,10488002
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,531140
"Population, total",SP.POP.TOTL,Cambodia,KHM,15766290
"Population, total",SP.POP.TOTL,Cameroon,CMR,23926549
"Population, total",SP.POP.TOTL,Canada,CAN,36109487
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,62564
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4537683
"Population, total",SP.POP.TOTL,Chad,TCD,14561658
"Population, total",SP.POP.TOTL,Channel Islands,CHI,166922
"Population, total",SP.POP.TOTL,Chile,CHL,18209072
"Population, total",SP.POP.TOTL,China,CHN,1387790000
"Population, total",SP.POP.TOTL,Colombia,COL,48175048
"Population, total",SP.POP.TOTL,Comoros,COM,795597
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,78789130
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4980996
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4899336
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23822726
"Population, total",SP.POP.TOTL,Croatia,HRV,4174349
"Population, total",SP.POP.TOTL,Cuba,CUB,11335108
"Population, total",SP.POP.TOTL,Curacao,CUW,159664
"Population, total",SP.POP.TOTL,Cyprus,CYP,1170189
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10566332
"Population, total",SP.POP.TOTL,Denmark,DNK,5728010
"Population, total",SP.POP.TOTL,Djibouti,DJI,929117
"Population, total",SP.POP.TOTL,Dominica,DMA,71307
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10397738
"Population, total",SP.POP.TOTL,Ecuador,ECU,16491116
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,94447071
"Population, total",SP.POP.TOTL,El Salvador,SLV,6356137
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1215181
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1315790
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1113994
"Population, total",SP.POP.TOTL,Ethiopia,ETH,103603461
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48173
"Population, total",SP.POP.TOTL,Fiji,FJI,872406
"Population, total",SP.POP.TOTL,Finland,FIN,5495303
"Population, total",SP.POP.TOTL,France,FRA,66724104
"Population, total",SP.POP.TOTL,French Polynesia,PYF,274576
"Population, total",SP.POP.TOTL,Gabon,GAB,2007882
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2149134
"Population, total",SP.POP.TOTL,Georgia,GEO,3727505
"Population, total",SP.POP.TOTL,Germany,DEU,82348669
"Population, total",SP.POP.TOTL,Ghana,GHA,28481947
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33738
"Population, total",SP.POP.TOTL,Greece,GRC,10775971
"Population, total",SP.POP.TOTL,Greenland,GRL,56186
"Population, total",SP.POP.TOTL,Grenada,GRD,110263
"Population, total",SP.POP.TOTL,Guam,GUM,162948
"Population, total",SP.POP.TOTL,Guatemala,GTM,15827690
"Population, total",SP.POP.TOTL,Guinea,GIN,11738434
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1782434
"Population, total",SP.POP.TOTL,Guyana,GUY,771363
"Population, total",SP.POP.TOTL,Haiti,HTI,10839976
"Population, total",SP.POP.TOTL,Honduras,HND,9270794
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7336600
"Population, total",SP.POP.TOTL,Hungary,HUN,9814023
"Population, total",SP.POP.TOTL,Iceland,ISL,335439
"Population, total",SP.POP.TOTL,India,IND,1324517250
"Population, total",SP.POP.TOTL,Indonesia,IDN,261556386
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,79563991
"Population, total",SP.POP.TOTL,Iraq,IRQ,36610632
"Population, total",SP.POP.TOTL,Ireland,IRL,4755335
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83296
"Population, total",SP.POP.TOTL,Israel,ISR,8546000
"Population, total",SP.POP.TOTL,Italy,ITA,60627498
"Population, total",SP.POP.TOTL,Jamaica,JAM,2906242
"Population, total",SP.POP.TOTL,Japan,JPN,126994511
"Population, total",SP.POP.TOTL,Jordan,JOR,9554286
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17794055
"Population, total",SP.POP.TOTL,Kenya,KEN,49051531
"Population, total",SP.POP.TOTL,Kiribati,KIR,112529
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25307665
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51217803
"Population, total",SP.POP.TOTL,Kosovo,XKX,1777557
"Population, total",SP.POP.TOTL,Kuwait,KWT,3956862
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6079500
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6845848
"Population, total",SP.POP.TOTL,Latvia,LVA,1959537
"Population, total",SP.POP.TOTL,Lebanon,LBN,6714281
"Population, total",SP.POP.TOTL,Lesotho,LSO,2075041
"Population, total",SP.POP.TOTL,Liberia,LBR,4586788
"Population, total",SP.POP.TOTL,Libya,LBY,6492160
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37655
"Population, total",SP.POP.TOTL,Lithuania,LTU,2868231
"Population, total",SP.POP.TOTL,Luxembourg,LUX,582014
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,612824
"Population, total",SP.POP.TOTL,Madagascar,MDG,24894370
"Population, total",SP.POP.TOTL,Malawi,MWI,17205253
"Population, total",SP.POP.TOTL,Malaysia,MYS,30684652
"Population, total",SP.POP.TOTL,Maldives,MDV,475505
"Population, total",SP.POP.TOTL,Mali,MLI,17965448
"Population, total",SP.POP.TOTL,Malta,MLT,455356
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,57723
"Population, total",SP.POP.TOTL,Mauritania,MRT,4163532
"Population, total",SP.POP.TOTL,Mauritius,MUS,1263473
"Population, total",SP.POP.TOTL,Mexico,MEX,123333379
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,110215
"Population, total",SP.POP.TOTL,Moldova,MDA,2802170
"Population, total",SP.POP.TOTL,Monaco,MCO,38070
"Population, total",SP.POP.TOTL,Mongolia,MNG,3056358
"Population, total",SP.POP.TOTL,Montenegro,MNE,622303
"Population, total",SP.POP.TOTL,Morocco,MAR,35126274
"Population, total",SP.POP.TOTL,Mozambique,MOZ,27829930
"Population, total",SP.POP.TOTL,Myanmar,MMR,53045199
"Population, total",SP.POP.TOTL,Namibia,NAM,2358044
"Population, total",SP.POP.TOTL,Nauru,NRU,10474
"Population, total",SP.POP.TOTL,Nepal,NPL,27263430
"Population, total",SP.POP.TOTL,Netherlands,NLD,17030314
"Population, total",SP.POP.TOTL,New Caledonia,NCL,269350
"Population, total",SP.POP.TOTL,New Zealand,NZL,4714100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6303970
"Population, total",SP.POP.TOTL,Niger,NER,20788789
"Population, total",SP.POP.TOTL,Nigeria,NGA,185960244
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2072490
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,56187
"Population, total",SP.POP.TOTL,Norway,NOR,5234519
"Population, total",SP.POP.TOTL,Oman,OMN,4479217
"Population, total",SP.POP.TOTL,Pakistan,PAK,203631356
"Population, total",SP.POP.TOTL,Palau,PLW,17718
"Population, total",SP.POP.TOTL,Panama,PAN,4037073
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8271766
"Population, total",SP.POP.TOTL,Paraguay,PRY,6777878
"Population, total",SP.POP.TOTL,Peru,PER,30926036
"Population, total",SP.POP.TOTL,Philippines,PHL,103663812
"Population, total",SP.POP.TOTL,Poland,POL,37970087
"Population, total",SP.POP.TOTL,Portugal,PRT,10325452
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3406672
"Population, total",SP.POP.TOTL,Qatar,QAT,2654379
"Population, total",SP.POP.TOTL,Romania,ROU,19702267
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144342397
"Population, total",SP.POP.TOTL,Rwanda,RWA,11668829
"Population, total",SP.POP.TOTL,Samoa,WSM,194540
"Population, total",SP.POP.TOTL,San Marino,SMR,33503
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,203221
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,32443443
"Population, total",SP.POP.TOTL,Senegal,SEN,14993514
"Population, total",SP.POP.TOTL,Serbia,SRB,7058322
"Population, total",SP.POP.TOTL,Seychelles,SYC,94677
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7328846
"Population, total",SP.POP.TOTL,Singapore,SGP,5607283
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,39969
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5430798
"Population, total",SP.POP.TOTL,Slovenia,SVN,2065042
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,619438
"Population, total",SP.POP.TOTL,Somalia,SOM,14185635
"Population, total",SP.POP.TOTL,South Africa,ZAF,56207649
"Population, total",SP.POP.TOTL,South Sudan,SSD,10832520
"Population, total",SP.POP.TOTL,Spain,ESP,46484062
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21203000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,51629
"Population, total",SP.POP.TOTL,St. Lucia,LCA,180028
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36061
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109467
"Population, total",SP.POP.TOTL,Sudan,SDN,39847433
"Population, total",SP.POP.TOTL,Suriname,SUR,564883
"Population, total",SP.POP.TOTL,Sweden,SWE,9923085
"Population, total",SP.POP.TOTL,Switzerland,CHE,8373338
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,17465567
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8663575
"Population, total",SP.POP.TOTL,Tanzania,TZA,53049231
"Population, total",SP.POP.TOTL,Thailand,THA,68971313
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1219289
"Population, total",SP.POP.TOTL,Togo,TGO,7509952
"Population, total",SP.POP.TOTL,Tonga,TON,101143
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1377563
"Population, total",SP.POP.TOTL,Tunisia,TUN,11303942
"Population, total",SP.POP.TOTL,Turkey,TUR,79827868
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5662371
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,36558
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11232
"Population, total",SP.POP.TOTL,Uganda,UGA,39649173
"Population, total",SP.POP.TOTL,Ukraine,UKR,45004673
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9360975
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65611593
"Population, total",SP.POP.TOTL,United States,USA,323071755
"Population, total",SP.POP.TOTL,Uruguay,URY,3424139
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,31847900
"Population, total",SP.POP.TOTL,Vanuatu,VUT,278326
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,29851249
"Population, total",SP.POP.TOTL,Vietnam,VNM,93640435
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107516
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4367088
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,27168210
"Population, total",SP.POP.TOTL,Zambia,ZMB,16363449
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14030338
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,609978946
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,412551299
"Population, total",SP.POP.TOTL,Arab World,ARB,404042892
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7269385
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102994278
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3164439749
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2307625738
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2062232304
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2036897092
"Population, total",SP.POP.TOTL,Euro area,EMU,340481755
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,910870489
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,412538477
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,454682913
"Population, total",SP.POP.TOTL,European Union,EUU,445487730
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,849739853
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,738387077
"Population, total",SP.POP.TOTL,High income,HIC,1194191812
"Population, total",SP.POP.TOTL,IBRD only,IBD,4701907494
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6263736146
"Population, total",SP.POP.TOTL,IDA blend,IDB,524794580
"Population, total",SP.POP.TOTL,IDA only,IDX,1037034072
"Population, total",SP.POP.TOTL,IDA total,IDA,1561828652
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2270527108
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,628493594
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,570838477
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,612511541
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,963241392
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6209526269
"Population, total",SP.POP.TOTL,Low income,LIC,599290280
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3149022555
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,433616042
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,370294017
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,365926929
"Population, total",SP.POP.TOTL,Middle income,MIC,5610235989
"Population, total",SP.POP.TOTL,North America,NAC,359245796
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1341701902
"Population, total",SP.POP.TOTL,Other small states,OSS,29542903
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2385744
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1101834188
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,869943573
"Population, total",SP.POP.TOTL,Small states,SST,39198032
"Population, total",SP.POP.TOTL,South Asia,SAS,1771187426
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1771187426
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1022530245
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1022435568
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1022530245
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2461213434
"Population, total",SP.POP.TOTL,World,WLD,7433569330
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/27/2022,,,,
